"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"298","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/SearchService.java","3","9","Parameter 'query' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"299","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/TransService.java","2","23","Avoid reassigning parameters such as 'id'","Design Rules","AvoidReassigningParameters"
"300","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/TransService.java","3","23","Avoid variables with short names like id","Naming Rules","ShortVariable"
"301","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/TransService.java","3","24","This call to String.startsWith can be rewritten using String.charAt(0)","Optimization Rules","SimplifyStartsWith"
"302","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/TransService.java","3","27","Local variable 'url' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"303","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/TransService.java","3","28","Local variable 'content' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"304","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/TransService.java","3","29","Consider simply returning the value vs storing it in local variable 'content'","Design Rules","UnnecessaryLocalBeforeReturn"
"305","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/UploadService.java","3","9","Document empty method","Design Rules","UncommentedEmptyMethod"
"306","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/UploadService.java","3","9","Parameter 'content' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"307","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","22","Logger should be defined private static final and have the correct class","Jakarta Commons Logging Rules","ProperLogger"
"308","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","32","Parameter 'password' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"309","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","32","Parameter 'username' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"310","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","34","Local variable 'url' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"311","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","35","Local variable 'content' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"312","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","38","Avoid unused local variables such as 'result'.","Unused Code Rules","UnusedLocalVariable"
"313","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","5","38","Found 'DU'-anomaly for variable 'result' (lines '38'-'48').","Controversial Rules","DataflowAnomalyAnalysis"
"314","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","38","Local variable 'result' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"315","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","39","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"316","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","51","Local variable 'queries' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"317","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","58","Local variable 'url' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"318","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","62","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"319","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","75","Avoid variables with short names like i","Naming Rules","ShortVariable"
"320","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","78","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"321","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","79","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"322","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","80","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"323","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","82","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"324","com.narphorium.freebase.services","src/main/java/com/narphorium/freebase/services/WriteService.java","3","85","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"325","com.narphorium.freebase.services.exceptions","src/main/java/com/narphorium/freebase/services/exceptions/FreebaseServiceException.java","3","20","The String literal 'unused' appears 4 times in this file; the first occurrence is on line 20","String and StringBuffer Rules","AvoidDuplicateLiterals"
